pct_converted,green_infrastructure_pct,food_forest_pct,pct_highdensity,n_wet,n_for,n_hd,mean_cn,flood_reduction,runoff_acre_feet,mean_hm,cooling_f,mean_ndvi,carbon_tons_co2_yr,nature_access_pct,people_with_nature_access,food_mln_lbs,people_fed,total_cost_mln,scenario_name
20,30,70,0,3085,7200,1,71.37000274658203,28.63,262.0,0.3854,0.5,0.31189998984336853,6964.1,65.6,101120,18.382,9191,50.23,20% converted — GI 30% / FF 70%
20,40,0,60,4114,0,6172,72.05999755859375,27.94,279.6,0.3066,0.1,0.25459998846054077,1826.6,65.2,100542,0.0,0,52.52,20% converted — GI 40% / FF 0%
20,40,10,50,4114,1028,5144,71.7699966430664,28.23,272.2,0.3198,0.2,0.2639999985694885,2625.4,65.3,100682,2.624,1312,53.66,20% converted — GI 40% / FF 10%
20,40,20,40,4114,2057,4115,71.48999786376953,28.51,265.0,0.3331,0.2,0.273499995470047,3424.9,65.4,100808,5.252,2626,54.8,20% converted — GI 40% / FF 20%
20,40,30,30,4114,3085,3087,71.19000244140625,28.81,257.5,0.3463,0.3,0.28290000557899475,4223.7,65.4,100881,7.876,3938,55.94,20% converted — GI 40% / FF 30%
20,40,40,20,4114,4114,2058,70.88999938964844,29.11,250.1,0.3596,0.4,0.2922999858856201,5023.2,65.5,100974,10.503,5251,57.08,20% converted — GI 40% / FF 40%
20,40,50,10,4114,5143,1029,70.5999984741211,29.4,243.1,0.3728,0.4,0.301800012588501,5822.7,65.6,101117,13.13,6565,58.23,20% converted — GI 40% / FF 50%
20,40,60,0,4114,6171,1,70.30000305175781,29.7,236.0,0.386,0.5,0.31119999289512634,6621.5,65.6,101120,15.755,7877,59.37,20% converted — GI 40% / FF 60%
20,50,0,50,5143,0,5143,70.70999908447266,29.29,245.8,0.3205,0.2,0.26330000162124634,2283.5,65.3,100682,0.0,0,62.8,20% converted — GI 50% / FF 0%
20,50,10,40,5143,1028,4115,70.43000030517578,29.57,239.0,0.3338,0.2,0.2727000117301941,3082.2,65.4,100808,2.624,1312,63.94,20% converted — GI 50% / FF 10%
20,50,20,30,5143,2057,3086,70.12999725341797,29.87,232.0,0.347,0.3,0.28220000863075256,3881.8,65.4,100881,5.252,2626,65.08,20% converted — GI 50% / FF 20%
20,50,30,20,5143,3085,2058,69.83000183105469,30.17,225.0,0.3603,0.4,0.29159998893737793,4680.5,65.5,100974,7.876,3938,66.22,20% converted — GI 50% / FF 30%
20,50,40,10,5143,4114,1029,69.54000091552734,30.46,218.4,0.3735,0.4,0.3009999990463257,5480.1,65.6,101117,10.503,5251,67.36,20% converted — GI 50% / FF 40%
20,50,50,0,5143,5143,0,69.23999786376953,30.76,211.6,0.3868,0.5,0.31049999594688416,6279.6,65.6,101120,13.13,6565,68.5,20% converted — GI 50% / FF 50%
20,60,0,40,6171,0,4115,69.36000061035156,30.64,214.3,0.3345,0.3,0.2720000147819519,2739.9,65.4,100808,0.0,0,73.07,20% converted — GI 60% / FF 0%
20,60,10,30,6171,1028,3087,69.05999755859375,30.94,207.7,0.3477,0.3,0.28139999508857727,3538.7,65.4,100881,2.624,1312,74.21,20% converted — GI 60% / FF 10%
20,60,20,20,6171,2057,2058,68.76000213623047,31.24,201.1,0.361,0.4,0.29089999198913574,4338.2,65.5,100974,5.252,2626,75.35,20% converted — GI 60% / FF 20%
20,60,30,10,6171,3085,1030,68.47000122070312,31.53,194.9,0.3742,0.4,0.3003000020980835,5137.0,65.6,101117,7.876,3938,76.49,20% converted — GI 60% / FF 30%
20,60,40,0,6171,4114,1,68.16999816894531,31.83,188.6,0.3874,0.5,0.30970001220703125,5936.5,65.6,101120,10.503,5251,77.63,20% converted — GI 60% / FF 40%
20,70,0,30,7200,0,3086,68.0,32.0,185.0,0.3484,0.3,0.2806999981403351,3196.8,65.4,100881,0.0,0,83.35,20% converted — GI 70% / FF 0%
20,70,10,20,7200,1028,2058,67.70999908447266,32.29,179.1,0.3617,0.4,0.29019999504089355,3995.6,65.5,100974,2.624,1312,84.49,20% converted — GI 70% / FF 10%
20,70,20,10,7200,2057,1029,67.41000366210938,32.59,173.1,0.3749,0.4,0.2996000051498413,4795.1,65.6,101117,5.252,2626,85.63,20% converted — GI 70% / FF 20%
20,70,30,0,7200,3085,1,67.12000274658203,32.88,167.3,0.3881,0.5,0.3089999854564667,5593.8,65.6,101120,7.876,3938,86.77,20% converted — GI 70% / FF 30%
20,80,0,20,8228,0,2058,66.6500015258789,33.35,158.3,0.3623,0.4,0.28940001130104065,3653.2,65.5,100974,0.0,0,93.62,20% converted — GI 80% / FF 0%
20,80,10,10,8228,1028,1030,66.36000061035156,33.64,152.8,0.3756,0.4,0.2989000082015991,4452.0,65.6,101117,2.624,1312,94.76,20% converted — GI 80% / FF 10%
20,80,20,0,8228,2057,1,66.05999755859375,33.94,147.3,0.3888,0.5,0.3082999885082245,5251.5,65.6,101120,5.252,2626,95.9,20% converted — GI 80% / FF 20%
20,90,0,10,9257,0,1029,65.30000305175781,34.7,133.7,0.3763,0.4,0.29809999465942383,4110.1,65.6,101117,0.0,0,103.89,20% converted — GI 90% / FF 0%
20,90,10,0,9257,1028,1,65.0,35.0,128.5,0.3895,0.5,0.3075999915599823,4908.9,65.6,101120,2.624,1312,105.04,20% converted — GI 90% / FF 10%
20,100,0,0,10286,0,0,63.939998626708984,36.06,111.1,0.3902,0.5,0.3068999946117401,4567.0,65.6,101120,0.0,0,114.17,20% converted — GI 100% / FF 0%
25,0,0,100,0,0,12857,77.93000030517578,22.07,458.4,0.2456,-0.1,0.21660000085830688,0.0,33.7,51959,0.0,0,14.27,25% converted — GI 0% / FF 0%
25,0,10,90,0,1285,11572,77.55999755859375,22.44,445.5,0.2621,-0.0,0.22830000519752502,998.4,64.7,99753,3.281,1640,15.7,25% converted — GI 0% / FF 10%
25,0,20,80,0,2571,10286,77.19999694824219,22.8,433.2,0.2787,0.0,0.24009999632835388,1997.7,64.9,100129,6.564,3282,17.13,25% converted — GI 0% / FF 20%
25,0,30,70,0,3857,9000,76.83000183105469,23.17,420.7,0.2952,0.1,0.25189998745918274,2996.9,65.1,100458,9.847,4923,18.55,25% converted — GI 0% / FF 30%
25,0,40,60,0,5142,7715,76.45999908447266,23.54,408.5,0.3118,0.2,0.263700008392334,3995.3,65.4,100839,13.128,6564,19.98,25% converted — GI 0% / FF 40%
