pct_converted,green_infrastructure_pct,food_forest_pct,pct_highdensity,n_wet,n_for,n_hd,mean_cn,flood_reduction,runoff_acre_feet,mean_hm,cooling_f,flood_damage_avoided_usd,cooling_energy_savings_usd,mean_ndvi,carbon_tons_co2_yr,nature_access_pct,nature_quality_score,people_with_nature_access,wellbeing_score,food_mln_lbs,people_fed,total_cost_mln,scenario_name
40,20,80,0,2668,10673,1,71.48999786376953,28.51,265.0,0.310699999332428,0.5,16359642.0,237546.0,0.3352999985218048,9477.5,74.1,0.741,114269,0.488,27.248,13624,53.31,40% converted — GI 20% / FF 80%
40,30,0,70,4002,0,9340,72.7699966430664,27.23,298.5,0.2101999968290329,0.1,11723026.0,49068.0,0.24869999289512634,1776.9,73.5,0.734,113217,0.427,0.0,0,54.79,40% converted — GI 30% / FF 0%
40,30,10,60,4002,1334,8006,72.4000015258789,27.6,288.6,0.22460000216960907,0.1,13093250.0,76172.0,0.26089999079704285,2813.4,73.6,0.735,113434,0.436,3.406,1703,56.27,40% converted — GI 30% / FF 10%
40,30,20,50,4002,2668,6672,72.0199966430664,27.98,278.6,0.23899999260902405,0.2,14477314.0,104470.0,0.27320000529289246,3849.9,73.8,0.737,113746,0.445,6.811,3405,57.75,40% converted — GI 30% / FF 20%
40,30,30,40,4002,4002,5338,71.63999938964844,28.36,268.8,0.2533999979496002,0.2,15833697.0,129504.0,0.28540000319480896,4886.4,74.0,0.74,114111,0.454,10.217,5108,59.23,40% converted — GI 30% / FF 30%
40,30,40,30,4002,5336,4004,71.26000213623047,28.74,259.3,0.2678000032901764,0.3,17148559.0,155596.0,0.29760000109672546,5923.0,74.0,0.74,114150,0.463,13.623,6811,60.71,40% converted — GI 30% / FF 40%
40,30,50,20,4002,6671,2669,70.87999725341797,29.12,249.9,0.2824000120162964,0.4,18449579.0,182873.0,0.3098999857902527,6960.3,74.0,0.74,114154,0.471,17.031,8515,62.19,40% converted — GI 30% / FF 50%
40,30,60,10,4002,8005,1335,70.5,29.5,240.7,0.29670000076293945,0.4,19722918.0,207336.0,0.3221000134944916,7996.8,74.1,0.741,114249,0.48,20.437,10218,63.68,40% converted — GI 30% / FF 60%
40,30,70,0,4002,9339,1,70.11000061035156,29.89,231.5,0.3111000061035156,0.5,20996258.0,238362.0,0.3343000113964081,9033.3,74.1,0.741,114269,0.488,23.842,11921,65.16,40% converted — GI 30% / FF 70%
40,40,0,60,5336,0,8006,71.0199966430664,28.98,253.3,0.22499999403953552,0.1,17978997.0,76981.0,0.25999999046325684,2369.2,73.6,0.735,113434,0.436,0.0,0,68.12,40% converted — GI 40% / FF 0%
40,40,10,50,5336,1334,6672,70.63999938964844,29.36,244.1,0.2395000010728836,0.2,19252336.0,105279.0,0.27219998836517334,3405.7,73.8,0.737,113746,0.445,3.406,1703,69.6,40% converted — GI 40% / FF 10%
40,40,20,40,5336,2668,5338,70.26000213623047,29.74,235.0,0.25380000472068787,0.3,20511835.0,130313.0,0.28450000286102295,4442.2,74.0,0.74,114111,0.454,6.811,3405,71.08,40% converted — GI 40% / FF 20%
40,40,30,30,5336,4002,4004,69.87999725341797,30.12,226.1,0.26829999685287476,0.3,21743652.0,156405.0,0.29670000076293945,5478.7,74.0,0.74,114150,0.463,10.217,5108,72.56,40% converted — GI 40% / FF 30%
40,40,40,20,5336,5336,2670,69.5,30.5,217.5,0.28279998898506165,0.4,22933948.0,183681.0,0.30889999866485596,6515.3,74.0,0.74,114154,0.471,13.623,6811,74.04,40% converted — GI 40% / FF 40%
40,40,50,10,5336,6671,1335,69.12000274658203,30.88,209.0,0.2971999943256378,0.4,24110403.0,208145.0,0.32120001316070557,7552.6,74.1,0.741,114249,0.48,17.031,8515,75.52,40% converted — GI 40% / FF 50%
40,40,60,0,5336,8005,1,68.7300033569336,31.27,200.5,0.311599999666214,0.5,25286857.0,239171.0,0.33340001106262207,8589.1,74.1,0.741,114269,0.488,20.437,10218,77.0,40% converted — GI 40% / FF 60%
40,50,0,50,6671,0,6671,69.26000213623047,30.74,212.1,0.23989999294281006,0.2,23681343.0,106123.0,0.27129998803138733,2961.9,73.8,0.737,113746,0.445,0.0,0,81.45,40% converted — GI 50% / FF 0%
40,50,10,40,6671,1334,5337,68.87999725341797,31.12,203.7,0.25429999828338623,0.3,24843957.0,131157.0,0.28349998593330383,3998.4,74.0,0.74,114111,0.454,3.406,1703,82.93,40% converted — GI 50% / FF 10%
40,50,20,30,6671,2668,4003,68.5,31.5,195.5,0.2687000036239624,0.3,25978890.0,157250.0,0.29580000042915344,5035.0,74.0,0.74,114150,0.463,6.811,3405,84.41,40% converted — GI 50% / FF 20%
40,50,30,20,6671,4002,2669,68.12000274658203,31.88,187.5,0.2831999957561493,0.4,27086141.0,184526.0,0.30799999833106995,6071.5,74.0,0.74,114154,0.471,10.217,5108,85.9,40% converted — GI 50% / FF 30%
40,50,40,10,6671,5336,1335,67.73999786376953,32.26,179.7,0.29760000109672546,0.4,28165712.0,208990.0,0.32019999623298645,7108.0,74.1,0.741,114249,0.479,13.623,6811,87.38,40% converted — GI 50% / FF 40%
40,50,50,0,6671,6671,0,67.3499984741211,32.65,171.9,0.31200000643730164,0.5,29245282.0,240016.0,0.33250001072883606,8145.3,74.1,0.741,114269,0.488,17.031,8515,88.86,40% converted — GI 50% / FF 50%
40,60,0,40,8005,0,5337,67.5,32.5,174.9,0.2547000050544739,0.3,28830062.0,131904.0,0.2825999855995178,3554.2,74.0,0.74,114111,0.454,0.0,0,94.78,40% converted — GI 60% / FF 0%
40,60,10,30,8005,1334,4003,67.12000274658203,32.88,167.3,0.26910001039505005,0.3,29881951.0,157997.0,0.2948000133037567,4590.7,74.0,0.74,114150,0.463,3.406,1703,96.26,40% converted — GI 60% / FF 10%
40,60,20,20,8005,2668,2669,66.75,33.25,160.2,0.28360000252723694,0.4,30864637.0,185273.0,0.3070000112056732,5627.3,74.0,0.74,114154,0.471,6.811,3405,97.74,40% converted — GI 60% / FF 20%
40,60,30,10,8005,4002,1335,66.36000061035156,33.64,152.8,0.2980000078678131,0.4,31888845.0,209737.0,0.31929999589920044,6663.8,74.1,0.741,114249,0.479,10.217,5108,99.22,40% converted — GI 60% / FF 30%
40,60,40,0,8005,5336,1,65.97000122070312,34.03,145.6,0.3124000132083893,0.5,32885371.0,240763.0,0.33149999380111694,7700.3,74.1,0.741,114269,0.488,13.623,6811,100.7,40% converted — GI 60% / FF 40%
40,70,0,30,9339,0,4003,65.75,34.25,141.6,0.2696000039577484,0.3,33438997.0,158775.0,0.2939000129699707,4146.5,74.0,0.74,114150,0.463,0.0,0,108.11,40% converted — GI 70% / FF 0%
40,70,10,20,9339,1334,2669,65.37000274658203,34.63,134.9,0.2840999960899353,0.4,34366320.0,186052.0,0.3061000108718872,5183.0,74.0,0.74,114154,0.471,3.406,1703,109.59,40% converted — GI 70% / FF 10%
40,70,20,10,9339,2668,1335,64.9800033569336,35.02,128.2,0.2985000014305115,0.4,35293643.0,210515.0,0.3183000087738037,6219.6,74.1,0.741,114249,0.479,6.811,3405,111.07,40% converted — GI 70% / FF 20%
40,70,30,0,9339,4002,1,64.5999984741211,35.4,121.8,0.31290000677108765,0.5,36179445.0,241541.0,0.33059999346733093,7256.1,74.1,0.741,114269,0.488,10.217,5108,112.55,40% converted — GI 70% / FF 30%
40,80,0,20,10673,0,2669,63.9900016784668,36.01,111.9,0.28450000286102295,0.4,37549669.0,186866.0,0.3052000105381012,4738.8,74.0,0.74,114154,0.471,0.0,0,121.43,40% converted — GI 80% / FF 0%
40,80,10,10,10673,1334,1335,63.61000061035156,36.39,106.0,0.2989000082015991,0.4,38366267.0,211329.0,0.3174000084400177,5775.3,74.1,0.741,114249,0.479,3.406,1703,122.91,40% converted — GI 80% / FF 10%
40,80,20,0,10673,2668,1,63.220001220703125,36.78,100.0,0.3133000135421753,0.5,39196705.0,242355.0,0.3296000063419342,6811.8,74.1,0.741,114269,0.488,6.811,3405,124.39,40% converted — GI 80% / FF 20%
40,90,0,10,12007,0,1335,62.2400016784668,37.76,85.9,0.2992999851703644,0.4,41148236.0,212059.0,0.3165000081062317,5331.1,74.1,0.741,114249,0.479,0.0,0,134.76,40% converted — GI 90% / FF 0%
40,90,10,0,12007,1334,1,61.86000061035156,38.14,80.7,0.31369999051094055,0.5,41867950.0,243085.0,0.3287000060081482,6367.6,74.1,0.741,114269,0.488,3.406,1703,136.24,40% converted — GI 90% / FF 10%
40,100,0,0,13342,0,0,60.47999954223633,39.52,63.2,0.3142000138759613,0.5,44290062.0,244011.0,0.3278000056743622,5923.8,74.1,0.741,114269,0.488,0.0,0,148.1,40% converted — GI 100% / FF 0%
45,0,0,100,0,0,15010,78.33999633789062,21.66,473.0,0.1632000058889389,-0.1,0.0,0.0,0.2125999927520752,0.0,69.1,0.569,87768,0.335,0.0,0,16.66,45% converted — GI 0% / FF 0%
45,0,10,90,0,1501,13509,77.9000015258789,22.1,457.4,0.17949999868869781,-0.0,0.0,116.0,0.22630000114440918,1166.3,72.9,0.728,112322,0.408,3.832,1916,18.33,45% converted — GI 0% / FF 10%
45,0,20,80,0,3002,12008,77.4800033569336,22.52,442.7,0.1956000030040741,0.0,0.0,24556.0,0.24009999632835388,2332.6,73.5,0.735,113338,0.42,7.664,3832,19.99,45% converted — GI 0% / FF 20%
45,0,30,70,0,4503,10507,77.05000305175781,22.95,428.1,0.2117999941110611,0.1,0.0,54929.0,0.2538999915122986,3498.8,73.6,0.735,113432,0.429,11.496,5748,21.66,45% converted — GI 0% / FF 30%
45,0,40,60,0,6004,9006,76.62000274658203,23.38,413.8,0.2280000001192093,0.2,0.0,84574.0,0.26759999990463257,4665.1,73.7,0.736,113564,0.439,15.328,7664,23.33,45% converted — GI 0% / FF 40%
