city,strategy,n_pixels,mean,std,min,p25,p50,p75,p95,max
"Minneapolis, MN",flood-focused,26372,16.96243721400333,5.397643501972241,0.0,13.27104139162848,17.65617170669432,18.89472329472328,23.003456545108733,23.003456545108733
"Minneapolis, MN",cooling-focused,26372,0.3606266535453467,0.10839746840321687,0.03530473009064942,0.33555816929638815,0.40490491688251495,0.44677641429007053,0.4471299029886723,0.44747449457645416
"Minneapolis, MN",undersupply-focused,26372,2.043488013523764,4.761568867467493,0.0,0.0,0.0,0.0,14.81062886714935,16.394946140050887
"Minneapolis, MN",balanced,26372,3.791900500530866e-05,3.1712310509296956e-05,2.6706999597621777e-06,2.19244291127169e-05,2.8267861280010154e-05,3.2805233018877186e-05,0.00012056265651766544,0.0001338813396709467
"Minneapolis Full, MN",flood-focused,85873,14.117868720419317,4.385483469422841,0.0,13.27104139162848,13.27104139162848,17.65617170669432,17.65617170669432,17.65617170669432
"Minneapolis Full, MN",cooling-focused,85873,0.35805228066127276,0.10811245004067624,0.03486948719598682,0.29795708755652106,0.4049021974205971,0.44693509489297867,0.44712496995925904,0.44751909375190735
"Minneapolis Full, MN",undersupply-focused,85873,2.524380441077921,5.05179653959124,0.0,0.0,0.0,0.0,14.935870528221129,16.7
"Minneapolis Full, MN",balanced,85873,1.164510381610052e-05,8.571673104138565e-06,4.0232439693040045e-07,7.2853373795734105e-06,8.038475113935434e-06,9.701123908016979e-06,3.204560096762834e-05,3.537972735765246e-05
"San Antonio, TX",flood-focused,840488,17.61288781580866,4.734425279364274,0.0,13.27104139162848,18.89472329472328,18.89472329472328,23.003456545108733,23.003456545108733
"San Antonio, TX",cooling-focused,840488,0.30934275258613786,0.11976942977151372,0.006087545443157333,0.2207513437788133,0.34357303380966187,0.40538087859749794,0.44713756926357745,0.44837869703769684
"San Antonio, TX",undersupply-focused,840488,0.2052691721380196,1.1986401069177828,0.0,0.0,0.0,0.0,0.0,16.452128094434737
"San Antonio, TX",balanced,840488,1.1897849820580423e-06,2.3575416657539276e-06,1.8277758421074543e-08,6.456897713643767e-07,8.197107239155706e-07,9.456635721819969e-07,1.0917385767129125e-06,3.287681080336162e-05
