city,strategy,scenario,pct,seed,flood_reduction,mean_hm,food_mln_lbs,carbon_tons_co2_yr,runoff_acre_feet,elapsed_s,saturated
"Minneapolis, MN",random,all_ff,50,0,25.74,0.3582000136375427,33.725,10264.0,341.0,0.027,False
"Minneapolis, MN",random,all_ff,50,1,25.74,0.35839998722076416,33.725,10264.0,341.0,0.027,False
"Minneapolis, MN",random,all_ff,50,2,25.73,0.3582000136375427,33.725,10264.0,341.3,0.028,False
"Minneapolis, MN",random,all_ff,50,3,25.74,0.3580000102519989,33.725,10264.0,341.0,0.03,False
"Minneapolis, MN",random,all_ff,50,4,25.74,0.3580999970436096,33.725,10264.0,341.0,0.032,False
"Minneapolis, MN",random,all_ff,50,5,25.74,0.3580999970436096,33.725,10264.0,341.0,0.03,False
"Minneapolis, MN",random,all_ff,50,6,25.73,0.35830000042915344,33.725,10264.0,341.3,0.028,False
"Minneapolis, MN",random,all_ff,50,7,25.73,0.3582000136375427,33.725,10264.0,341.3,0.029,False
"Minneapolis, MN",random,all_ff,50,8,25.74,0.35839998722076416,33.725,10264.0,341.0,0.027,False
"Minneapolis, MN",random,all_ff,50,9,25.74,0.3582000136375427,33.725,10264.0,341.0,0.027,False
"Minneapolis, MN",random,all_hd,10,0,23.86,0.19050000607967377,0.0,0.0,398.8,0.029,False
"Minneapolis, MN",random,all_hd,10,1,23.85,0.19050000607967377,0.0,0.0,399.2,0.028,False
"Minneapolis, MN",random,all_hd,10,2,23.85,0.19040000438690186,0.0,0.0,399.2,0.028,False
"Minneapolis, MN",random,all_hd,10,3,23.85,0.19040000438690186,0.0,0.0,399.2,0.028,False
"Minneapolis, MN",random,all_hd,10,4,23.86,0.19050000607967377,0.0,0.0,398.8,0.027,False
"Minneapolis, MN",random,all_hd,10,5,23.86,0.19040000438690186,0.0,0.0,398.8,0.027,False
"Minneapolis, MN",random,all_hd,10,6,23.86,0.19040000438690186,0.0,0.0,398.8,0.027,False
"Minneapolis, MN",random,all_hd,10,7,23.86,0.19050000607967377,0.0,0.0,398.8,0.027,False
