city,strategy,pct,seed,n_chosen,chosen_pool_mean_score,overall_pool_mean_score,gap,scoring_surface,saturated,nonzero_count
"Minneapolis, MN",random,10,0,2637,17.01228899396647,16.96243721400333,0.049851779963141496,flood-focused,False,26372
"Minneapolis, MN",random,10,1,2637,16.779005269106207,16.96243721400333,-0.1834319448971229,flood-focused,False,26372
"Minneapolis, MN",random,10,2,2637,16.89953361214718,16.96243721400333,-0.0629036018561493,flood-focused,False,26372
"Minneapolis, MN",random,10,3,2637,16.768985242203282,16.96243721400333,-0.19345197180004803,flood-focused,False,26372
"Minneapolis, MN",random,10,4,2637,17.049802204169286,16.96243721400333,0.08736499016595545,flood-focused,False,26372
"Minneapolis, MN",random,10,5,2637,17.033771727566126,16.96243721400333,0.07133451356279608,flood-focused,False,26372
"Minneapolis, MN",random,10,6,2637,17.082801278256657,16.96243721400333,0.12036406425332657,flood-focused,False,26372
"Minneapolis, MN",random,10,7,2637,17.06581140152487,16.96243721400333,0.10337418752153837,flood-focused,False,26372
"Minneapolis, MN",random,10,8,2637,17.06298345072506,16.96243721400333,0.1005462367217298,flood-focused,False,26372
"Minneapolis, MN",random,10,9,2637,16.853152423366666,16.96243721400333,-0.1092847906366643,flood-focused,False,26372
"Minneapolis, MN",flood-focused,10,0,2637,18.720306457251876,16.96243721400333,1.757869243248546,flood-focused,False,25917
"Minneapolis, MN",flood-focused,10,1,2637,18.722928626680996,16.96243721400333,1.7604914126776663,flood-focused,False,25917
"Minneapolis, MN",flood-focused,10,2,2637,18.721660380424783,16.96243721400333,1.759223166421453,flood-focused,False,25917
"Minneapolis, MN",flood-focused,10,3,2637,18.63537173087227,16.96243721400333,1.6729345168689385,flood-focused,False,25917
"Minneapolis, MN",flood-focused,10,4,2637,18.63064708213507,16.96243721400333,1.6682098681317399,flood-focused,False,25917
"Minneapolis, MN",flood-focused,10,5,2637,18.66525377065317,16.96243721400333,1.7028165566498394,flood-focused,False,25917
"Minneapolis, MN",flood-focused,10,6,2637,18.66839599870468,16.96243721400333,1.7059587847013482,flood-focused,False,25917
"Minneapolis, MN",flood-focused,10,7,2637,18.587220592000573,16.96243721400333,1.6247833779972432,flood-focused,False,25917
"Minneapolis, MN",flood-focused,10,8,2637,18.636749260882542,16.96243721400333,1.674312046879212,flood-focused,False,25917
"Minneapolis, MN",flood-focused,10,9,2637,18.65891768130812,16.96243721400333,1.6964804673047915,flood-focused,False,25917
"Minneapolis, MN",cooling-focused,10,0,2637,0.392086395854673,0.3606266535453467,0.0314597423093263,cooling-focused,False,26372
"Minneapolis, MN",cooling-focused,10,1,2637,0.39197333613546753,0.3606266535453467,0.031346682590120856,cooling-focused,False,26372
"Minneapolis, MN",cooling-focused,10,2,2637,0.3923656151982122,0.3606266535453467,0.03173896165286555,cooling-focused,False,26372
"Minneapolis, MN",cooling-focused,10,3,2637,0.39395058841842856,0.3606266535453467,0.033323934873081884,cooling-focused,False,26372
"Minneapolis, MN",cooling-focused,10,4,2637,0.39114526069123623,0.3606266535453467,0.030518607145889554,cooling-focused,False,26372
"Minneapolis, MN",cooling-focused,10,5,2637,0.3942118046320059,0.3606266535453467,0.033585151086659215,cooling-focused,False,26372
"Minneapolis, MN",cooling-focused,10,6,2637,0.3954024550575311,0.3606266535453467,0.0347758015121844,cooling-focused,False,26372
"Minneapolis, MN",cooling-focused,10,7,2637,0.3938556067248368,0.3606266535453467,0.03322895317949015,cooling-focused,False,26372
"Minneapolis, MN",cooling-focused,10,8,2637,0.3923033907511357,0.3606266535453467,0.03167673720578901,cooling-focused,False,26372
"Minneapolis, MN",cooling-focused,10,9,2637,0.39294139084455526,0.3606266535453467,0.032314737299208585,cooling-focused,False,26372
"Minneapolis, MN",undersupply-focused,10,0,2637,12.852566933783338,2.043488013523764,10.809078920259575,undersupply-focused,False,4500
"Minneapolis, MN",undersupply-focused,10,1,2637,12.810145746079368,2.043488013523764,10.766657732555604,undersupply-focused,False,4500
"Minneapolis, MN",undersupply-focused,10,2,2637,12.806779670326558,2.043488013523764,10.763291656802794,undersupply-focused,False,4500
"Minneapolis, MN",undersupply-focused,10,3,2637,12.865801404731311,2.043488013523764,10.822313391207548,undersupply-focused,False,4500
"Minneapolis, MN",undersupply-focused,10,4,2637,12.86192765363835,2.043488013523764,10.818439640114587,undersupply-focused,False,4500
"Minneapolis, MN",undersupply-focused,10,5,2637,12.761613896194172,2.043488013523764,10.718125882670408,undersupply-focused,False,4500
